,Operator Name,Operator ID,Operator Type,State,Total Main Miles,Main Mileage Average Age,Main Miles over 50 Years Old,Main Miles Built in Unknown Decade,Main Miles Built Pre-1940,Main Miles Built 1940-49,Main Miles Built 1950-59,Main Miles Built 1960-69,Main Miles Built 1970-79,Main Miles Built 1980-89,Main Miles Built 1990-99,Main Miles Built 2000-09,Main Miles Built 2010-19,Main Miles Built 2020-29
33,PEOPLES NATURAL GAS COMPANY LLC,15350,Investor Owned,KY,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,PARIS - HENRY COUNTY PUBLIC UTIL DIST,15126,Municipal Owned,KY,7.0,33.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0
35,PAINTSVILLE CITY GAS SYSTEM,15035,Municipal Owned,KY,66.0,44.0,9,0.0,0.0,0.0,0.0,0.0,62.0,2.0,1.0,1.0,0.0,0.0
36,OLIVE HILL NATURAL GAS SYSTEM,14280,Municipal Owned,KY,23.3,0.0,0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,MURRAY NATURAL GAS SYSTEM,12918,Municipal Owned,KY,304.0,29.0,72,0.0,0.0,0.0,53.0,17.0,17.0,36.0,42.0,42.0,89.0,8.0
38,MORGANTOWN NATURAL GAS SYSTEM,12780,Municipal Owned,KY,73.83,34.0,21,0.0,0.0,0.0,0.0,20.0,9.0,10.0,23.0,1.0,8.77,2.14
39,"MORGANFIELD GAS SYSTEM, CITY OF",12778,Municipal Owned,KY,113.92,42.0,40,0.0,0.0,0.0,24.917,14.0,12.59,30.0,27.0,2.0,3.413,0.0
40,MOREHEAD MUNICIPAL UTILITIES PLANT BOARD,12774,Municipal Owned,KY,59.76,29.0,1,0.0,0.0,0.0,0.0,1.5,0.0,38.0,3.93,12.75,2.33,1.25
41,MARTIN GAS INC,12208,Privately Owned,KY,23.0,32.0,0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,6.0,1.0,0.0,0.0
42,LOUISVILLE GAS & ELECTRIC CO,11824,Investor Owned,KY,4398.24,34.0,1299,174.42,0.06,0.45,485.06,766.16,314.07,335.64,1017.78,844.66,443.19,16.75
43,"LIBERTY GAS SYSTEM, CITY OF",11472,Municipal Owned,KY,33.0,62.0,33,0.0,0.0,0.0,20.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
44,LEWISPORT NATURAL GAS SYSTEM,11410,Municipal Owned,KY,93.9,39.0,31,0.0,0.0,0.0,0.0,30.0,13.0,20.0,20.0,9.0,2.0,0.0
45,LEITCHFIELD GAS SYSTEM UTILITIES,11368,Municipal Owned,KY,126.0,16.0,0,88.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,11.0,12.0,2.0
46,LA CENTER NATURAL GAS SYSTEM,11016,Municipal Owned,KY,11.0,56.0,11,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
47,"KUTTAWA NATURAL GAS, CITY OF",10350,Municipal Owned,KY,71.0,41.0,38,0.0,0.0,0.0,0.0,38.0,1.0,5.0,13.0,14.0,0.0,0.0
48,KEVIL NATURAL GAS SYSTEM,10210,Municipal Owned,KY,11.0,56.0,11,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
49,JOHNSON COUNTY GAS CO INC,9260,Privately Owned,KY,50.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
50,"HICKMAN GAS DEPT, CITY OF",7255,Municipal Owned,KY,29.0,53.0,20,0.0,0.0,0.0,20.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
51,HENDERSON MUNICIPAL GAS,7220,Municipal Owned,KY,257.55,44.0,80,25.56,29.78,12.1,29.81,22.25,27.52,20.05,31.74,29.31,25.74,3.69
52,"HAZARD GAS CO, CITY OF",7185,Municipal Owned,KY,63.0,41.0,8,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,7.0
53,HARDIN NATURAL GAS SYSTEM,7075,Municipal Owned,KY,27.0,41.0,14,0.0,0.0,0.0,0.0,14.0,0.0,0.0,13.0,0.0,0.0,0.0
54,"GRAYSON UTILITIES COMMISSION, CITY OF",6620,Municipal Owned,KY,64.0,29.0,7,0.0,0.0,0.0,6.0,1.0,2.0,2.0,48.0,1.0,4.0,0.0
55,FULTON GAS SYSTEM,5680,Municipal Owned,KY,42.0,22.0,0,39.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
56,FLEMINGSBURG UTILITIES SYSTEM,5230,Municipal Owned,KY,76.0,40.0,6,0.0,0.0,0.0,0.0,0.0,43.0,29.0,0.0,0.0,4.0,0.0
57,ELIZABETHTOWN NATURAL GAS,4360,Municipal Owned,KY,271.41,41.0,114,0.0,0.0,0.0,34.0,75.0,37.0,38.0,52.0,17.0,16.0,2.0
58,EDMONTON GAS CO,4260,Municipal Owned,KY,101.0,33.0,13,27.0,0.0,0.0,12.0,1.0,0.0,19.0,32.0,5.0,4.0,1.0
59,DRAKESBORO NATURAL GAS CO,3538,Municipal Owned,KY,47.0,34.0,22,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,25.0,0.0,0.0
60,DELTA NATURAL GAS CO INC,3260,Privately Owned,KY,1906.374,26.0,93,309.879,0.0,0.0,0.404,82.118,75.38,311.252,650.805,257.498,199.259,19.779
61,COLUMBIA UTILITIES COMMISSION,2624,Municipal Owned,KY,62.4,15.0,0,31.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,11.0,9.1,3.3
62,COLUMBIA GAS OF KENTUCKY INC,2585,Investor Owned,KY,2615.5,38.0,881,102.4,72.4,40.5,271.0,497.8,209.7,369.3,469.4,268.3,277.4,37.3
63,"CLINTON GAS SYSTEM, CITY OF",2508,Municipal Owned,KY,26.0,56.0,26,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
64,"CLAY NATURAL GAS SYSTEM, CITY OF",2472,Municipal Owned,KY,24.0,68.0,40,0.0,0.0,20.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0
65,"CARROLLTON GAS DISTRICT SYSTEM, CITY OF",2116,Municipal Owned,KY,169.3,32.0,28,0.0,0.0,0.0,0.0,23.0,38.0,36.0,11.0,46.0,14.0,1.0
66,"CARLISLE GAS SYSTEM, CITY OF",2096,Municipal Owned,KY,15.0,40.0,4,0.0,0.0,0.0,0.0,4.0,0.0,10.0,0.0,1.0,0.0,0.0
67,B & H GAS CO,1985,Privately Owned,KY,14.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0
68,"BROOKSVILLE UTILITIES, TOWN OF",1816,Municipal Owned,KY,87.6,28.0,9,0.0,0.0,0.0,0.0,7.27,12.37,1.89,45.6,12.51,7.96,0.0
69,"BENTON GAS SYSTEM, CITY OF",1328,Municipal Owned,KY,320.0,28.0,41,0.0,0.0,0.0,20.0,20.0,7.0,40.0,152.0,48.0,31.0,2.0
70,BARLOW NATURAL GAS SYSTEM,1128,Municipal Owned,KY,22.0,56.0,22,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
71,"BARDWELL GAS SYSTEM, CITY OF",1120,Municipal Owned,KY,32.0,56.0,32,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
72,"BURKESVILLE GAS CO, INC.",976,Privately Owned,KY,18.0,32.0,0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,1.0,1.0,0.0
73,"AUGUSTA, CITY OF",864,Municipal Owned,KY,32.0,6.0,0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
74,"ARLINGTON GAS SYSTEM, CITY OF",648,Municipal Owned,KY,21.0,56.0,21,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
