,Operator Name,Operator ID,Operator Type,State,Total Main Miles,Main Mileage Average Age,Main Miles over 50 Years Old,Main Miles Built in Unknown Decade,Main Miles Built Pre-1940,Main Miles Built 1940-49,Main Miles Built 1950-59,Main Miles Built 1960-69,Main Miles Built 1970-79,Main Miles Built 1980-89,Main Miles Built 1990-99,Main Miles Built 2000-09,Main Miles Built 2010-19,Main Miles Built 2020-29
38,MONTICELLO GAS SYSTEM,12756,Municipal Owned,GA,85.94,42.0,46,0.0,0.0,0.0,0.0,45.48,7.38,3.1,14.72,14.11,1.13,0.02
39,"MILLEN NATURAL GAS SYSTEM, CITY OF",12522,Municipal Owned,GA,46.42,36.0,18,0.0,0.0,0.0,15.03,2.0,8.0,1.9,1.0,2.51,15.98,0.0
40,"MADISON GAS SYSTEM, CITY OF",12024,Municipal Owned,GA,108.2,35.0,45,0.0,0.0,0.0,0.0,44.64,9.0,4.0,14.9,20.1,13.31,2.25
41,"LUMPKIN GAS DEPT, CITY OF",11896,Municipal Owned,GA,12.72,46.0,9,0.0,0.0,0.0,0.0,9.907,0.0,0.0,1.0,0.0,1.813,0.0
42,"LOUISVILLE GAS & WATER, CITY OF",11832,Municipal Owned,GA,52.8,43.0,18,0.0,0.0,0.0,8.8,6.0,22.0,0.0,11.0,3.5,1.5,0.0
43,"LAWRENCEVILLE, CITY OF",11320,Municipal Owned,GA,1429.51,23.0,50,0.0,0.0,0.0,21.52,22.24,43.58,109.3,633.51,464.62,120.46,14.36
44,"LAGRANGE GAS DEPT, CITY OF",11080,Municipal Owned,GA,296.22,20.0,3,0.0,0.0,0.0,0.0,0.0,21.732,20.0,57.63,176.51,19.348,1.0
45,"LAFAYETTE UTILITY APT, CITY OF",11056,Municipal Owned,GA,68.08,46.0,44,0.0,0.0,0.0,24.3,20.2,3.0,2.0,2.0,6.1,10.48,0.0
46,JOINTLY OWNED NATURAL GAS,9276,Municipal Owned,GA,322.66,32.0,110,0.0,0.0,0.0,77.0,30.32,20.0,21.0,25.0,64.3,83.33,1.71
47,"HOGANSVILLE GAS SYSTEM, CITY OF",7300,Municipal Owned,GA,36.766,17.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,28.654,2.112,0.0
48,"HAWKINSVILLE, CITY OF",7175,Municipal Owned,GA,40.57,27.0,12,0.0,0.0,0.0,2.74,10.0,0.0,0.0,7.0,7.54,10.87,2.42
49,HARTWELL GAS DEPT,7120,Municipal Owned,GA,181.29,9.0,0,84.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.8,58.58,2.67
50,"GREENSBORO MUNICIPAL GAS SYSTEM, CITY OF",6760,Municipal Owned,GA,41.31,42.0,16,0.0,0.0,0.0,0.0,14.0,16.7,0.9,3.0,4.21,2.5,0.0
51,"GRANTVILLE GAS SYSTEM, CITY OF",6600,Municipal Owned,GA,20.0,18.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0
52,"FORT VALLEY GAS DEPARTMENT, CITY OF",5490,Municipal Owned,GA,161.42,24.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.68,13.0,6.93,0.81
53,"FORT GAINES GAS SYSTEM, CITY OF",5400,Municipal Owned,GA,7.991,56.0,7,0.0,0.0,0.0,0.0,7.991,0.0,0.0,0.0,0.0,0.0,0.0
54,FITZGERALD WATER LIGHT & BOND COMMISSION,5210,Municipal Owned,GA,54.852,16.0,0,48.506,0.0,0.0,0.0,0.0,0.0,0.0,2.66,1.46,2.183,0.043
55,ELBERTON NATURAL GAS SYSTEM,4310,Municipal Owned,GA,213.5,21.0,2,63.0,0.0,0.0,0.0,0.0,18.6,25.9,25.0,34.1,35.65,11.25
56,"EDISON GAS SYSTEM, CITY OF",4250,Municipal Owned,GA,23.7,40.0,10,0.0,0.0,0.0,0.0,10.5,0.0,10.0,0.0,0.0,3.2,0.0
57,"EATONTON, CITY OF",4200,Municipal Owned,GA,141.35,8.0,0,111.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.22,21.16,0.38
58,"DUBLIN, CITY OF",3560,Municipal Owned,GA,284.1,6.0,0,220.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,52.25,6.06
59,"DOUGLAS GAS DEPT, CITY OF",3510,Municipal Owned,GA,124.91,5.0,0,112.118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.792,0.0
60,"DONALSONVILLE GAS SYSTEM, CITY OF",3480,Municipal Owned,GA,26.615,42.0,18,0.0,0.0,0.0,0.0,18.0,0.0,1.0,2.0,1.0,0.29,4.325
61,"DOERUN, CITY OF",3460,Municipal Owned,GA,11.0,32.0,5,0.0,0.0,0.0,0.0,5.22,0.0,0.0,1.0,1.38,3.4,0.0
62,DECATUR COUNTY INDUSTRIAL AIRPARK,3188,Municipal Owned,GA,14.76,29.0,5,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,6.76,0.0
63,"DAWSON GAS DEPT, CITY OF",3160,Municipal Owned,GA,31.1,46.0,29,0.0,0.0,14.7,0.0,0.0,2.0,3.0,0.0,7.508,3.892,0.0
64,DALTON WATER LIGHT & SINKING FUND COMMISSION,3090,Municipal Owned,GA,350.118,50.0,225,11.875,0.0,0.0,201.467,21.667,12.933,6.802,37.081,33.033,25.18,0.0
65,"CUTHBERT GAS SYSTEM, CITY OF",2928,Municipal Owned,GA,30.76,48.0,24,0.0,0.0,0.0,0.0,24.0,0.0,0.0,5.0,0.0,1.76,0.0
66,"COVINGTON MUNICIPAL GAS SYSTEM, CITY OF",2860,Municipal Owned,GA,335.71,43.0,178,0.0,0.0,0.0,136.96,38.6,21.0,11.0,25.9,81.4,18.98,1.87
67,"CORDELE GAS SYSTEM, CITY OF",2780,Municipal Owned,GA,123.83,20.0,0,94.67,0.0,0.0,0.0,0.0,0.0,0.0,18.0,7.0,3.03,1.04
68,"COMMERCE GAS SYSTEM, CITY OF",2644,Municipal Owned,GA,159.48,24.0,28,0.0,0.0,0.0,18.01,10.27,1.0,7.0,19.0,74.0,29.27,0.93
69,"COLQUITT GAS SYSTEM, CITY OF",2572,Municipal Owned,GA,18.765,43.0,11,0.0,0.0,0.0,0.0,11.645,0.0,0.0,6.0,1.0,0.12,0.0
70,"COCHRAN GAS SYSTEM, CITY OF",2536,Municipal Owned,GA,50.38,45.0,29,0.0,0.0,0.0,13.07,15.44,3.4,2.05,8.36,6.65,0.88,0.53
71,"CLAXTON GAS DEPT, CITY OF",2464,Municipal Owned,GA,100.44,37.0,33,0.0,0.0,0.0,0.0,30.9,14.23,19.0,15.0,19.41,1.9,0.0
72,"CARTERSVILLE GAS DEPT, CITY OF",2120,Municipal Owned,GA,352.52,44.0,160,43.38,0.0,0.0,102.0,57.0,10.0,50.0,40.0,28.393,19.087,2.66
73,"CAMILLA GAS SYSTEM, CITY OF",2036,Municipal Owned,GA,55.7,12.0,0,35.311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,6.189,0.0
74,"CAIRO GAS SYSTEMS, CITY OF",2012,Municipal Owned,GA,68.434,52.0,62,0.0,0.0,0.0,0.0,62.914,0.0,0.0,0.0,4.0,1.486,0.0
75,"BUFORD GAS SYSTEM, CITY OF",1872,Municipal Owned,GA,952.36,22.0,84,0.0,0.0,0.0,42.84,36.13,39.92,54.76,189.0,395.0,175.1,19.62
76,"BOWMAN GAS SYSTEM, CITY OF",1672,Municipal Owned,GA,10.1,42.0,4,0.0,0.0,0.0,4.6,0.0,0.0,1.7,2.0,0.2,1.2,0.4
77,"BLAKELY GAS DEPT, CITY OF",1520,Municipal Owned,GA,40.8,48.0,32,0.0,0.0,0.0,0.0,32.0,0.0,1.0,3.0,4.0,0.8,0.0
78,"BAINBRIDGE GAS DEPT, CITY OF",1048,Municipal Owned,GA,75.876,11.0,0,69.583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,2.789,0.204
79,"AUSTELL NATURAL GAS SYSTEM, CITY OF",909,Municipal Owned,GA,1185.65,37.0,373,0.0,0.0,0.0,269.28,93.52,68.31,231.02,230.86,207.51,80.61,5.41
80,ATLANTA GAS LIGHT CO,792,Investor Owned,GA,32982.6,30.0,5960,708.6,0.1,0.3,954.3,4503.5,3345.8,6280.7,6952.0,6431.5,3546.9,258.9
81,"ASHBURN GAS DEPT, CITY OF",702,Municipal Owned,GA,35.057,12.0,0,27.216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.744,3.094,0.003
82,"ANDERSONVILLE GAS SYSTEM, CITY OF",495,Municipal Owned,GA,10.5,43.0,6,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,1.5,0.0
83,AMERICUS UTILITY COMMISSION,423,Municipal Owned,GA,104.305,53.0,71,0.0,0.0,0.0,71.85,0.0,0.0,10.0,18.0,0.78,3.4,0.0
84,ALBANY WATER GAS & LIGHT COMMISSION,234,Municipal Owned,GA,419.345,32.0,8,290.134,0.0,0.0,0.0,0.0,54.38,27.0,21.0,5.0,20.211,1.56
85,"ADEL GAS DEPT, CITY OF",54,Municipal Owned,GA,58.39,17.0,2,0.0,0.0,0.0,0.0,0.0,15.0,4.0,4.0,0.0,6.5,28.81
86,"ADAIRSVILLE, CITY OF",45,Municipal Owned,GA,114.31,16.0,4,0.0,0.0,0.0,0.0,3.44,6.0,9.0,8.98,31.0,54.95,0.94
