,Operator Name,Operator ID,Operator Type,State,Total Main Miles,Main Mileage Average Age,Main Miles over 50 Years Old,Main Miles Built in Unknown Decade,Main Miles Built Pre-1940,Main Miles Built 1940-49,Main Miles Built 1950-59,Main Miles Built 1960-69,Main Miles Built 1970-79,Main Miles Built 1980-89,Main Miles Built 1990-99,Main Miles Built 2000-09,Main Miles Built 2010-19,Main Miles Built 2020-29
15,"VINA GAS SYSTEM, TOWN OF",21300,Municipal Owned,AL,49.0,29.0,6,0.0,0.0,0.0,0.0,6.0,0.0,10.0,23.0,7.0,3.0,0.0
16,UNION SPRINGS UTILITIES BOARD,20150,Municipal Owned,AL,72.0,25.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,7.0,0.0,0.0
17,"TUSCUMBIA GAS DEPT, CITY OF",19760,Municipal Owned,AL,67.24,48.0,41,0.0,0.0,0.0,29.0,12.0,5.0,3.0,9.0,5.0,1.11,3.13
18,"TRUSSVILLE, UTILITIES BOARD, CITY OF",19740,Municipal Owned,AL,543.26,19.0,0,345.484,0.0,0.0,0.0,0.0,0.0,0.0,93.0,84.73,16.974,3.072
19,"TALLASSEE, CITY OF",19050,Municipal Owned,AL,61.0,10.0,0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0
20,SYLACAUGA GAS SYSTEM,18784,Municipal Owned,AL,360.7,26.0,31,0.0,0.0,0.0,9.3,19.9,17.5,53.0,149.0,66.0,45.7,0.3
21,SUMITON GAS BOARD,18708,Municipal Owned,AL,49.1,47.0,31,0.0,0.0,0.0,0.0,31.0,0.0,15.0,2.0,1.1,0.0,0.0
22,STEVENSON UTILITIES BOARD,18644,Municipal Owned,AL,22.2,0.0,0,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,SOUTHEAST GAS,18456,Municipal Owned,AL,1694.16,38.0,713,0.0,0.0,0.0,556.75,144.0,85.0,106.0,289.0,273.0,240.41,0.0
24,SHEFFIELD GAS DEPARTMENT,18252,Municipal Owned,AL,101.0,28.0,1,0.0,0.0,0.0,0.0,1.0,1.0,35.0,49.0,13.0,2.0,0.0
25,SCOTTSBORO WATER SEWER & GAS BOARD,18140,Municipal Owned,AL,188.0,30.0,47,0.0,0.0,0.0,0.0,46.5,4.0,3.0,65.0,64.5,5.0,0.0
26,RUSSELVILLE GAS BOARD,17750,Municipal Owned,AL,313.054,29.0,11,0.0,0.0,0.0,0.0,0.0,78.0,65.0,91.0,59.0,19.784,0.27
27,"ROCKFORD GAS BOARD, TOWN OF",17590,Municipal Owned,AL,6.0,59.0,5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
28,"ROBERTSDALE GAS SYSTEM, CITY OF",17556,Municipal Owned,AL,13.422,75.0,26,0.0,0.0,13.27,0.0,0.0,0.0,0.0,0.0,0.0,0.152,0.0
29,ROANOKE UTILITIES BOARD,17550,Municipal Owned,AL,57.0,36.0,2,0.0,0.0,0.0,2.0,0.0,0.0,54.0,0.0,0.0,0.0,1.0
30,"RED BAY NATURAL GAS SYSTEM, TOWN OF",17130,Municipal Owned,AL,100.24,50.0,66,0.0,0.0,0.0,56.0,10.0,0.0,7.0,18.0,0.0,9.24,0.0
31,"PIEDMONT WATER WORKS GAS & SEWER BOARD, CITY OF",15525,Municipal Owned,AL,72.0,35.0,23,4.0,0.0,0.0,4.5,19.0,0.0,21.0,3.0,10.0,10.5,0.0
32,PICKENS COUNTY NATURAL GAS DISTRICT,15504,Municipal Owned,AL,73.0,48.0,44,0.0,0.0,0.0,41.0,3.0,4.0,6.0,5.0,3.0,10.0,1.0
33,ONEONTA GAS DEPT,14320,Municipal Owned,AL,221.11,30.0,52,0.0,0.0,0.0,25.0,27.0,6.0,27.0,60.0,25.0,50.81,0.3
34,NORTHWEST ALABAMA GAS DISTRICT,13820,Municipal Owned,AL,1578.56,32.0,299,0.0,0.0,0.0,163.76,115.08,135.62,226.08,632.98,129.48,144.14,31.42
35,NORTH ALABAMA GAS DISTRICT,13535,Municipal Owned,AL,877.02,25.0,92,0.0,0.0,0.0,39.26,49.9,20.0,138.94,288.1,153.85,169.82,17.15
36,MULGA NATURAL GAS SYSTEM,12900,Municipal Owned,AL,42.0,0.0,0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,MOULTON GAS SYSTEM,12824,Municipal Owned,AL,103.2,34.0,34,0.0,0.0,0.0,0.0,34.0,2.0,2.0,51.0,6.0,8.2,0.0
38,SPIRE GULF INC.,12642,Investor Owned,AL,2283.77,32.0,544,0.0,15.97,25.68,212.62,251.4,192.87,211.73,674.04,348.1,331.81,19.55
39,MARSHALL COUNTY GAS DISTRICT,12180,Municipal Owned,AL,1148.0,17.0,0,187.0,0.0,0.0,0.0,0.0,0.0,68.0,386.0,166.0,293.0,48.0
40,MAPLESVILLE GAS SYSTEM,12120,Municipal Owned,AL,73.0,35.0,19,0.0,0.0,0.0,19.0,0.0,0.0,0.0,44.0,10.0,0.0,0.0
41,"LIVINGSTON UTILITIES BOARD, CITY OF",11595,Municipal Owned,AL,48.9,45.0,30,0.0,0.0,0.0,28.9,1.0,1.0,2.0,3.0,1.0,12.2,0.0
42,"LANETT GAS DEPT, CITY OF",11216,Municipal Owned,AL,76.0,8.0,0,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,6.0,2.0
43,"JACKSONVILLE WATER WORK, GAS & SEWER BOARD",9070,Municipal Owned,AL,85.01,32.0,29,0.0,0.0,14.0,0.0,0.0,12.0,0.0,31.71,18.5,7.8,1.0
44,HUNTSVILLE GAS SYSTEM,7685,Municipal Owned,AL,1451.11,33.0,447,0.0,0.0,0.0,79.8,341.64,172.43,148.95,206.89,272.18,199.49,29.73
45,HARTSELLE UTILITIES BOARD,7110,Municipal Owned,AL,389.53,20.0,29,0.0,0.0,0.0,14.86,9.91,29.73,44.59,59.46,44.59,185.67,0.72
46,GRAYSVILLE MUNICIPAL GAS SYSTEM,6630,Municipal Owned,AL,157.36,35.0,58,0.0,0.0,0.0,24.28,29.7,32.0,10.0,1.0,18.5,40.09,1.83
47,"GORDO WATER GAS & SEWER BOARD, TOWN OF",6460,Municipal Owned,AL,32.86,35.0,14,0.0,0.0,0.0,12.8,2.0,0.0,1.0,1.0,5.0,10.8,0.26
48,GENEVA COUNTY GAS DIST,6320,Municipal Owned,AL,200.32,41.0,135,0.0,0.0,0.0,0.0,135.0,5.0,8.0,0.0,2.0,48.32,2.0
49,FULTONDALE GAS BOARD,5700,Municipal Owned,AL,200.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,38.0
50,"FOLEY UTILITY BOARD, CITY OF (RIVIERA UTIL)",5340,Municipal Owned,AL,455.0,32.0,126,0.0,0.0,0.0,96.0,26.0,30.0,25.0,82.0,124.0,65.0,7.0
51,"FLORENCE GAS DEPT, CITY OF",5300,Municipal Owned,AL,563.741,38.0,174,0.0,0.0,0.0,111.164,54.68,60.161,62.425,215.57,32.041,24.31,3.39
52,"FLORALA UTILITY BOARD, CITY OF",5290,Municipal Owned,AL,17.0,51.0,15,0.0,0.0,0.0,0.0,15.0,0.0,0.0,1.5,0.0,0.5,0.0
53,"FAYETTE GAS BOARD, CITY OF",5090,Municipal Owned,AL,159.5,37.0,44,0.0,0.0,0.0,22.0,15.0,50.0,18.0,18.0,15.0,14.5,7.0
54,"FAIRHOPE GAS SYSTEM, CITY OF",5040,Municipal Owned,AL,579.0,34.0,98,0.0,0.0,0.0,45.0,25.0,192.0,49.0,134.0,70.0,58.0,6.0
55,"DORA GAS BOARD, TOWN OF",3490,Municipal Owned,AL,34.0,50.0,20,0.0,0.0,0.0,20.0,0.0,0.0,8.0,2.0,4.0,0.0,0.0
56,DEKALB - CHEROKEE COUNTIES GAS DISTRICT,3200,Municipal Owned,AL,807.45,27.0,143,0.0,0.0,0.0,60.0,81.0,17.0,126.0,223.0,121.0,156.954,22.496
57,DECATUR UTILITIES - GAS DEPARTMENT,3183,Municipal Owned,AL,422.486,32.0,40,0.0,0.0,0.0,11.54,18.532,66.31,124.927,157.433,22.386,19.335,2.023
58,"DAPHNE UTILITY DEPT, CITY OF",3130,Municipal Owned,AL,247.0,22.0,19,17.0,0.0,0.0,16.0,3.0,5.0,18.0,42.0,120.0,23.0,3.0
59,DADEVILLE WATER SUPPPLY & GAS BOARD,3050,Municipal Owned,AL,59.0,47.0,29,0.0,0.0,0.0,29.0,0.0,0.0,17.0,8.0,3.0,2.0,0.0
60,CULLMAN - JEFFERSON CO GAS DIST,2904,Municipal Owned,AL,986.153,18.0,0,313.178,0.0,0.0,0.0,0.0,0.0,0.0,331.0,171.0,161.19,9.786
61,"CORDOVA, WATER WORKS & GAS BOARD FO THE CITY OF",2784,Municipal Owned,AL,16.1,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1,0.0
62,SOUTH ALABAMA GAS DISTRICT,2688,Municipal Owned,AL,397.697,39.0,156,0.0,0.0,13.104,7.895,117.131,35.981,67.42,124.13,5.455,24.45,2.131
63,CLARKE - MOBILE COUNTIES GAS DIST,2456,Municipal Owned,AL,453.786,35.0,138,0.0,0.0,0.0,0.0,137.737,6.0,60.912,229.0,5.0,14.898,0.239
64,"CITRONELLE GAS UTILITIES BOARD, TOWN OF",2421,Municipal Owned,AL,463.0,18.0,0,279.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,86.0,21.0,3.0
65,CHILDERSBURG GAS BOARD,2304,Municipal Owned,AL,91.0,34.0,23,0.0,0.0,0.0,19.4,3.4,6.4,5.0,32.0,18.0,6.8,0.0
66,CHEROKEE WATERWORKS & GAS BOARD,2300,Municipal Owned,AL,22.3,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.3,0.0
67,"CARBON HILL GAS BOARD, CITY OF",2088,Municipal Owned,AL,69.0,41.0,44,0.0,0.0,0.0,0.0,44.0,0.0,5.0,0.0,10.0,10.0,0.0
68,CAMP HILL UTILITY BOARD,2044,Municipal Owned,AL,25.0,0.0,0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,CITY OF CALERA NATURAL GAS,2020,Municipal Owned,AL,102.25,29.0,21,0.0,0.0,0.0,7.0,13.0,8.0,11.0,12.0,44.0,6.18,1.07
70,BROOKSIDE GAS SYSTEM,1808,Municipal Owned,AL,18.4,0.0,0,18.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,BRIDGEPORT UTILITIES BOARD,1736,Municipal Owned,AL,33.23,40.0,12,0.0,0.0,0.0,12.5,0.0,0.0,10.0,3.72,1.12,5.68,0.21
72,"BREWTON GAS DEPT, CITY OF",1728,Municipal Owned,AL,204.09,17.0,0,184.72,0.0,0.0,0.0,0.0,0.0,0.0,7.5,8.27,1.98,1.62
73,BOAZ GAS BOARD,1584,Municipal Owned,AL,326.239,27.0,48,0.0,0.0,0.0,20.0,25.0,24.0,36.0,87.0,70.0,63.841,0.398
74,NORTH BALDWIN UTILITIES,1192,Municipal Owned,AL,152.0,34.0,79,0.0,0.0,38.0,3.0,0.0,1.0,25.0,18.0,28.0,38.0,1.0
75,"WEST ESCAMBIA UTILITIES, INC.",828,Municipal Owned,AL,126.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0
76,ATHENS GAS DEPARTMENT,766,Municipal Owned,AL,612.0,19.0,34,0.0,0.0,0.0,26.0,8.0,6.0,19.0,221.0,141.0,167.0,24.0
77,ALEXANDER CITY MUNICIPAL GAS,261,Municipal Owned,AL,151.127,36.0,43,0.0,0.0,0.0,3.0,40.257,3.957,37.498,47.976,11.07,6.425,0.944
78,SPIRE ALABAMA INC.,180,Investor Owned,AL,11345.8,38.0,3901,472.3,173.2,259.0,1644.33,1551.11,1253.38,1302.33,1839.63,1483.74,1239.88,126.9
