,Operator Name,Operator ID,Operator Type,State,Total Main Miles,Main Mileage Average Age,Main Miles over 50 Years Old,Main Miles Built in Unknown Decade,Main Miles Built Pre-1940,Main Miles Built 1940-49,Main Miles Built 1950-59,Main Miles Built 1960-69,Main Miles Built 1970-79,Main Miles Built 1980-89,Main Miles Built 1990-99,Main Miles Built 2000-09,Main Miles Built 2010-19,Main Miles Built 2020-29
36,"PENSACOLA, ENERGY SERVICES OF",4475,Municipal Owned,FL,1747.08,31.0,441,80.26,0.0,11.85,199.0,201.9,110.6,195.7,274.4,336.5,308.5,28.37
37,"DEFUNIAK SPRINGS NATURAL GAS SYSTEM, CITY OF",3190,Municipal Owned,FL,91.175,46.0,52,0.0,0.0,0.0,49.766,2.0,2.0,5.0,12.0,13.0,7.409,0.0
38,CRESCENT CITY NATURAL GAS,2872,Municipal Owned,FL,127.5,50.0,85,0.0,0.0,0.0,0.0,80.0,38.0,2.0,2.0,5.5,0.0,0.0
39,CLEARWATER GAS SYSTEM,2488,Municipal Owned,FL,1047.1,33.0,232,0.0,63.0,54.0,54.0,59.0,78.0,116.0,215.0,185.0,199.6,23.5
40,FLORIDA CITY GAS,2432,Privately Owned,FL,3737.4,37.0,1714,17.8,0.0,0.0,0.0,1655.9,393.8,239.4,277.5,572.1,504.2,76.8
41,"CHIPLEY, CITY OF",2348,Municipal Owned,FL,38.0,0.0,0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,"CHATTAHOOCHEE, CITY OF",2289,Municipal Owned,FL,19.0,66.0,19,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,"CENTURY, TOWN OF",2227,Municipal Owned,FL,62.494,49.0,42,0.0,0.0,0.0,0.0,41.293,8.0,9.0,2.0,0.0,2.107,0.0
44,CENTRAL FLORIDA GAS CORP,2188,Investor Owned,FL,892.691,13.0,0,271.728,0.0,0.0,0.0,0.0,2.444,20.18,115.747,201.621,255.385,25.586
45,"BLOUNTSTOWN, CITY OF",1544,Municipal Owned,FL,41.0,0.0,0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,"SEBRING GAS SYSTEM, INC",929,Investor Owned,FL,49.06,12.0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,28.53,0.52
