,Operator Name,Operator ID,Operator Type,State,Total Services,Services from Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
20,"ANDERSONVILLE GAS SYSTEM, CITY OF",495,Municipal Owned,GA,111,0,0,0,0,0,20,52,30,5,3,1
21,ANDREASSI GAS COMPANY,504,Privately Owned,PA,376,61,0,0,10,30,40,60,70,90,15,0
22,ANNA MUNICIPAL GAS CO,522,Municipal Owned,IL,1955,0,0,0,818,0,0,1039,6,20,64,8
23,APPLEBY NATURAL GAS SYSTEM,558,Municipal Owned,TX,621,0,0,0,0,301,30,15,16,123,122,14
24,"ARGONIA MUNICIPAL SYSTEM, CITY OF",576,Municipal Owned,KS,310,278,0,0,0,0,0,0,0,28,4,0
25,ARGYLE MUNICIPAL GAS SYSTEM,585,Municipal Owned,MN,283,0,0,0,0,191,0,7,40,10,26,9
26,CENTERPOINT ENERGY RESOURCES CORP.,603,Investor Owned,AR,446852,146125,3559,3458,5088,8108,10827,34683,60606,104309,66241,3848
27,CENTERPOINT ENERGY RESOURCES CORP.,603,Investor Owned,LA,168355,66770,2928,2716,6847,6972,7654,9092,4227,28433,30855,1861
28,CENTERPOINT ENERGY RESOURCES CORP.,603,Investor Owned,OK,122361,77228,118,413,2006,4554,4027,5844,2908,10300,13928,1035
29,CENTERPOINT ENERGY RESOURCES CORP.,603,Investor Owned,TX,17194,458,47,75,54,146,233,4807,3911,3599,3752,112
30,CITY OF ROCKPORT,612,Municipal Owned,TX,5305,18,0,482,1052,1053,915,391,867,210,277,40
31,ARKANSAS OKLAHOMA GAS CORP,621,Investor Owned,AR,54293,0,0,1,3515,8182,6999,7878,12622,7835,6493,768
32,ARKANSAS OKLAHOMA GAS CORP,621,Investor Owned,OK,16323,0,0,0,0,851,3350,4386,3085,1953,2473,225
33,"ARLINGTON GAS SYSTEM, CITY OF",648,Municipal Owned,KY,482,0,0,0,0,410,20,4,30,18,0,0
34,ARLINGTON NATURAL GAS CO,666,Privately Owned,OH,1837,571,0,0,0,0,0,167,399,361,304,35
35,"ARNAUDVILLE MUNICIPLE SYSTEM, TOWN OF",675,Municipal Owned,LA,664,645,0,0,0,0,0,0,0,0,13,6
36,"ASHBURN GAS DEPT, CITY OF",702,Municipal Owned,GA,1069,561,0,0,0,0,0,0,0,336,170,2
37,"ASHLAND MUNICIPAL GAS, TOWN OF",729,Municipal Owned,MS,747,0,0,0,146,65,154,116,112,30,124,0
38,ATHENS GAS DEPARTMENT,766,Municipal Owned,AL,12025,0,0,0,400,50,126,940,2984,3734,3118,673
39,ATHENS UTILITIES BOARD,774,Municipal Owned,TN,7348,0,0,0,908,650,512,503,2917,1505,291,62
40,ATLANTA GAS LIGHT CO,792,Investor Owned,GA,1705862,38104,0,0,56943,236596,162212,329123,358482,312803,193978,17621
41,"WEST ESCAMBIA UTILITIES, INC.",828,Municipal Owned,AL,1714,0,0,0,0,0,0,0,0,0,0,1714
42,"AUBURN, CITY OF",846,Municipal Owned,KS,1105,0,0,0,0,147,291,144,240,224,52,7
43,"AUBURN GAS DEPT, CITY OF",855,Municipal Owned,IL,1732,0,0,0,0,0,0,270,260,535,648,19
44,"FAIRBANK, CITY OF",860,Municipal Owned,IA,536,0,0,0,0,0,0,0,440,39,52,5
45,"AUGUSTA, CITY OF",864,Municipal Owned,KY,440,438,0,0,0,0,0,0,0,0,2,0
46,"AUGUSTA LIGHT WATER & GAS, CITY OF",873,Municipal Owned,AR,942,0,0,0,0,866,0,75,0,0,0,1
47,WESTBROOK PUBLIC UTILITIES,883,Municipal Owned,MN,449,0,0,0,0,0,0,0,440,0,8,1
48,AURORA GAS CO,885,Investor Owned,MI,3332,0,0,0,0,0,0,589,1562,896,267,18
49,COMMUNITY UTILITIES CO.,888,Privately Owned,MN,832,0,0,0,0,545,0,0,146,85,52,4
50,AURORA UTILITIES,891,Municipal Owned,IN,1205,0,0,0,0,0,0,813,182,97,103,10
51,STUART GAS CO,893,Municipal Owned,NE,374,0,0,0,0,241,2,6,24,0,99,2
52,KEYSTONE RURAL GAS DISTRICT #1,895,Municipal Owned,OK,687,0,0,0,0,0,0,0,530,0,150,7
53,"AUSTELL NATURAL GAS SYSTEM, CITY OF",909,Municipal Owned,GA,60752,0,0,0,6746,5624,6315,12742,11906,12650,4084,685
54,AUSTIN UTILITIES,918,Municipal Owned,MN,10304,191,0,90,308,1609,680,1283,2823,2249,1053,18
55,NATGAS INC.,920,Investor Owned,TX,1370,1370,0,0,0,0,0,0,0,0,0,0
56,"ST. JAMES GAS DEPT., CITY OF",924,Municipal Owned,MO,1099,0,0,0,0,0,0,0,1071,0,26,2
57,OMEGA PIPELINE CO,926,Investor Owned,MO,1140,0,0,0,0,0,0,0,1089,0,51,0
58,"SEBRING GAS SYSTEM, INC",929,Investor Owned,FL,995,488,0,0,0,0,0,0,339,0,141,27
59,AVANT UTILITIES AUTH,933,Municipal Owned,OK,121,0,0,0,0,0,0,121,0,0,0,0
60,"PINEDALE NATURAL GAS, INC",967,Privately Owned,WY,1817,0,0,0,0,0,7,6,445,754,523,82
61,"UNIVERSAL NATURAL GAS, INC.",968,Investor Owned,TX,10542,0,0,0,0,0,0,0,1235,4226,4314,767
62,BALDWYN MUN GAS SYST,969,Municipal Owned,MS,1754,0,0,0,0,912,14,291,329,115,93,0
63,"CLIFTON GAS DEPT, CITY OF",972,Municipal Owned,TN,380,0,0,0,0,0,0,0,0,0,377,3
64,"BURKESVILLE GAS CO, INC.",976,Privately Owned,KY,530,0,0,0,0,0,0,49,337,111,31,2
65,APPALACHIAN NATURAL GAS DISTRIBUTION COMPANY,980,Investor Owned,VA,2262,0,0,0,0,16,111,238,749,529,585,34
66,HARTLEY MUNICIPAL UTILITIES,986,Municipal Owned,IA,756,0,0,658,0,0,0,0,50,25,23,0
67,"BAINBRIDGE GAS DEPT, CITY OF",1048,Municipal Owned,GA,1411,1339,0,0,0,0,0,0,0,24,44,4
68,BAINBRIDGE MUNICIPAL GAS,1056,Municipal Owned,IN,314,0,0,0,0,224,27,22,29,2,5,5
69,BAKER UTILITY SYSTEM,1064,Municipal Owned,LA,4253,1615,0,0,26,32,1285,185,457,27,622,4
70,"BALDWIN MUNICIPAL SYSTEM, TOWN OF",1072,Municipal Owned,LA,561,70,0,0,0,0,456,0,0,30,4,1
71,BALTIMORE GAS AND ELECTRIC COMPANY,1088,Investor Owned,MD,545598,0,31789,17468,31143,21824,56591,51819,107706,91085,117394,18779
72,BAMBERG BOARD OF PUBLIC WORKS,1096,Municipal Owned,SC,1563,0,0,0,0,409,274,401,332,96,44,7
73,"BARDWELL GAS SYSTEM, CITY OF",1120,Municipal Owned,KY,888,0,0,0,0,830,0,0,8,36,13,1
74,BARLOW NATURAL GAS SYSTEM,1128,Municipal Owned,KY,392,0,0,0,0,350,9,10,10,10,0,3
75,BARROW UTILITIES & ELECTRIC CORP,1134,Cooperative,AK,1299,0,0,0,0,0,0,812,296,114,71,6
76,"BASILE, TOWN OF",1136,Municipal Owned,LA,876,0,0,0,0,0,0,0,876,0,0,0
77,"BATESVILLE GAS DEPT, CITY OF",1152,Municipal Owned,MS,2630,0,0,350,403,509,185,178,525,363,112,5
78,BATESVILLE GAS UTILITY,1160,Municipal Owned,IN,3106,0,0,0,117,867,49,560,757,476,241,39
79,BATH ELECTRIC GAS & WATER SYSTEMS,1168,Municipal Owned,NY,1916,0,339,85,166,123,119,219,332,239,240,54
80,BAY CITY MUNICIPAL GAS SYSTEM,1184,Municipal Owned,TX,6906,0,0,0,0,0,0,6198,65,216,408,19
81,NORTH BALDWIN UTILITIES,1192,Municipal Owned,AL,2599,0,0,1076,0,0,113,584,357,42,340,87
82,"BAY ST LOUIS MUNICIPLE GAS, CITY OF",1200,Municipal Owned,MS,2161,0,0,0,0,0,0,0,0,0,0,2161
83,"BAY SPRINGS NATURAL GAS SYSTEM, TOWN OF",1208,Municipal Owned,MS,790,103,0,0,450,95,23,45,8,29,37,0
84,"BEAUMONT MUNICIPAL GAS, TOWN OF",1224,Municipal Owned,MS,167,0,0,0,0,138,0,0,0,27,2,0
85,BEDFORD NATURAL GAS SYSTEM,1232,Municipal Owned,IA,781,0,0,0,0,538,84,35,48,35,32,9
86,BELLE RIVE GAS CO,1256,Municipal Owned,IL,194,0,0,0,0,81,72,8,25,4,4,0
87,"BELLVILLE, CITY OF",1272,Municipal Owned,TX,1486,1208,0,0,0,0,0,0,85,0,183,10
88,"BELMONT NATURAL GAS SYSTEM, TOWN OF",1280,Municipal Owned,MS,2029,1736,0,0,0,0,0,0,0,0,254,39
89,"BENNETTSVILLE ELECTRIC & GAS, CITY OF",1304,Municipal Owned,SC,3283,0,0,0,116,428,969,726,667,309,60,8
90,CITY OF BENSON,1312,Municipal Owned,AZ,2108,0,0,0,0,0,1100,436,395,135,42,0
91,"BENTON GAS SYSTEM, CITY OF",1328,Municipal Owned,KY,7238,0,0,0,300,700,538,739,2957,894,1009,101
92,BERGER CITY NATURAL GAS SYSTEM,1336,Municipal Owned,MO,118,0,0,0,0,81,4,10,17,3,2,1
93,BERKSHIRE GAS CO,1344,Investor Owned,MA,32713,0,1234,88,894,2982,2861,6159,5050,4296,8561,588
94,"BERNIE MUNICIPAL SYSTEM, CITY OF",1360,Municipal Owned,MO,957,0,0,0,366,242,58,100,90,69,30,2
95,"BERWICK, TOWN OF",1376,Municipal Owned,LA,858,0,362,50,100,25,25,25,75,83,96,17
96,"BESSEMER CITY MUNICIPAL SYSTEM, CITY OF",1384,Municipal Owned,NC,1737,0,0,0,0,218,109,369,722,244,69,6
97,BETHANY MUNICIPAL GAS SYSTEM,1392,Municipal Owned,IL,614,0,0,0,0,440,151,4,8,3,8,0
98,BETHANY MUNICIPAL GAS SYSTEM,1400,Municipal Owned,MO,1819,0,0,0,0,896,255,180,231,188,64,5
99,"BIG LAKE GAS DEPT, CITY OF",1408,Municipal Owned,TX,1065,0,0,0,0,899,100,5,8,26,27,0
100,"BILLINGS GAS CO, TOWN OF",1448,Municipal Owned,OK,213,207,0,0,0,0,0,0,0,0,6,0
101,"BISMARCK GAS SYSTEM, CITY OF",1456,Municipal Owned,MO,729,0,0,0,0,627,6,69,15,10,2,0
102,BLACKSTONE GAS CO,1504,Privately Owned,MA,1499,0,0,0,0,0,40,279,228,549,387,16
103,"BLAKELY GAS DEPT, CITY OF",1520,Municipal Owned,GA,963,369,0,0,0,353,21,88,122,5,5,0
104,"BLOOMFIELD MUNICIPAL GAS, CITY OF",1536,Municipal Owned,IA,1204,0,0,0,0,32,899,32,116,80,34,11
105,"BLOUNTSTOWN, CITY OF",1544,Municipal Owned,FL,1010,1010,0,0,0,0,0,0,0,0,0,0
106,CARDINAL NATURAL GAS COMPANY,1560,Investor Owned,WV,10946,0,332,874,460,575,818,1908,2589,1908,1262,220
107,BLUFORD MUNICIPAL GAS SYSTEM,1568,Municipal Owned,IL,556,0,0,0,0,490,0,0,18,46,2,0
108,BOAZ GAS BOARD,1584,Municipal Owned,AL,5006,0,0,0,333,608,913,796,1164,494,697,1
109,"BOERNE UTILITY, CITY OF",1592,Municipal Owned,TX,3318,621,0,0,0,0,332,106,85,251,1611,312
110,BOLIVAR GAS DEPT,1616,Municipal Owned,TN,7097,0,0,0,1002,710,215,1158,2577,882,494,59
111,"BOOKER GAS CO, CITY OF",1622,Municipal Owned,TX,680,0,0,0,0,0,0,645,0,17,18,0
112,BOONEVILLE MUNICIPAL GAS SYSTEM,1624,Municipal Owned,MS,6824,0,0,0,2469,2000,100,552,627,496,580,0
113,BOONVILLE NATURAL GAS CORP,1632,Privately Owned,IN,5829,0,0,0,357,1351,880,1122,1158,532,370,59
114,BOSTON GAS CO,1640,Investor Owned,MA,763808,93889,73920,9736,15690,45060,53178,72640,122322,125972,144671,6730
115,"BOWMAN GAS SYSTEM, CITY OF",1672,Municipal Owned,GA,400,0,0,0,15,47,47,192,43,35,19,2
116,"BOYCE MUNICIPAL SYSTEM, TOWN OF",1680,Municipal Owned,LA,404,0,0,0,0,0,0,0,0,0,0,404
117,"BRACKETTVILLE, CITY OF, HOUSING AUTH OF",1684,Municipal Owned,TX,244,0,0,0,160,0,0,0,0,84,0,0
118,"BRADY MUNICIPAL GAS CORP, CITY OF",1688,Municipal Owned,TX,2635,2613,0,0,0,0,0,0,1,6,10,5
119,"BRAZORIA, CITY OF",1696,Municipal Owned,TX,749,0,0,0,0,0,0,54,150,434,111,0
120,"BRENHAM UTILITY, CITY OF",1720,Municipal Owned,TX,4842,517,0,0,0,0,0,705,1670,1043,907,0
121,"BREWTON GAS DEPT, CITY OF",1728,Municipal Owned,AL,3390,3054,0,0,0,0,0,11,232,89,4,0
122,BRIDGEPORT UTILITIES BOARD,1736,Municipal Owned,AL,1027,0,0,0,385,10,39,214,317,26,32,4
123,BRIGHTON MUNICIPAL GAS SYSTEM,1752,Municipal Owned,IA,363,0,0,0,0,273,55,11,11,3,10,0
124,BROOKLYN MUNICIPAL GAS CO,1792,Municipal Owned,IA,700,0,0,0,0,332,108,70,80,69,39,2
125,KEYSPAN ENERGY DELIVERY - NY CITY,1800,Investor Owned,NY,572048,0,4937,1387,14567,96213,100716,88174,101785,64665,90101,9503
126,BROOKSIDE GAS SYSTEM,1808,Municipal Owned,AL,472,472,0,0,0,0,0,0,0,0,0,0
127,"BROOKSVILLE UTILITIES, TOWN OF",1816,Municipal Owned,KY,743,0,0,0,0,163,123,30,211,125,83,8
128,BROWNSVILLE UTILITIES,1840,Municipal Owned,TN,5838,2793,0,0,0,0,523,763,973,384,374,28
129,"BUFORD GAS SYSTEM, CITY OF",1872,Municipal Owned,GA,42381,0,0,0,1591,2005,1911,2492,8086,15175,9625,1496
130,BURBANK PUBLIC WORKS AUTHORITY,1888,Municipal Owned,OK,48,0,0,0,0,0,0,0,0,0,48,0
131,BURLINGAME MUNICIPAL SYSTEM,1912,Municipal Owned,KS,632,0,0,0,575,0,0,0,9,41,7,0
132,"BURLINGTON GAS SYSTEM , CITY OF",1920,Municipal Owned,OK,106,84,0,0,0,0,0,0,0,0,22,0
133,BURNSVILLE GAS CO,1922,Privately Owned,MS,275,0,0,0,0,0,0,275,0,0,0,0
134,"BURRTON MUNICIPLE DISTRICT SYSTEM, CITY OF",1936,Municipal Owned,KS,438,0,0,0,0,410,0,0,22,0,4,2
135,BUSHNELL MUNICIPAL GAS UTILITY,1944,Municipal Owned,IL,1681,0,0,0,0,1263,0,321,0,26,60,11
136,"BYHALIA MUNICIPAL SYSTEM, TOWN OF",1976,Municipal Owned,MS,1285,1074,0,0,0,0,0,0,0,64,147,0
137,B & H GAS CO,1985,Privately Owned,KY,255,0,0,0,0,0,0,0,0,0,255,0
138,"CAIRO GAS SYSTEMS, CITY OF",2012,Municipal Owned,GA,1991,1874,0,0,0,0,0,0,0,6,102,9
139,CAIRO PUBLIC UTILITIES SYSTEM,2016,Municipal Owned,IL,2437,0,0,0,2224,0,0,0,133,0,80,0
140,CITY OF CALERA NATURAL GAS,2020,Municipal Owned,AL,3069,0,0,0,153,262,279,131,214,1742,263,25
141,"CAMILLA GAS SYSTEM, CITY OF",2036,Municipal Owned,GA,1368,1272,0,0,0,0,0,0,0,51,41,4
142,CAMP HILL UTILITY BOARD,2044,Municipal Owned,AL,118,118,0,0,0,0,0,0,0,0,0,0
143,CALEDONIA NATURAL GAS DISTRICT,2047,Municipal Owned,MS,2446,0,0,0,0,0,0,0,1689,427,284,46
144,CANTON MUNICIPAL UTILITY,2060,Municipal Owned,MS,4687,1903,0,0,0,0,0,0,0,339,2415,30
145,"CARBON HILL GAS BOARD, CITY OF",2088,Municipal Owned,AL,558,0,0,0,0,300,60,60,60,60,18,0
146,CARENCRO GAS SYSTEM,2092,Municipal Owned,LA,803,773,0,0,0,0,0,0,0,0,15,15
147,"CARLISLE GAS SYSTEM, CITY OF",2096,Municipal Owned,KY,709,0,0,0,0,1,0,693,0,10,5,0
148,CARRIZO SPRINGS GAS DEPT,2112,Municipal Owned,TX,1393,0,0,0,0,0,1379,6,6,2,0,0
149,"CARROLLTON GAS DISTRICT SYSTEM, CITY OF",2116,Municipal Owned,KY,3213,0,0,0,0,485,1223,189,513,454,318,31
150,"CARTERSVILLE GAS DEPT, CITY OF",2120,Municipal Owned,GA,11438,1739,0,0,2786,1677,120,1146,1673,1193,914,190
151,CASCADE MUNICIPAL UTIL,2124,Municipal Owned,IA,1077,758,0,0,0,0,0,0,17,126,164,12
152,CASCADE NATURAL GAS CORP,2128,Investor Owned,OR,76040,891,3,5,1389,6866,5036,4826,18345,22288,14560,1831
153,CASCADE NATURAL GAS CORP,2128,Investor Owned,WA,224967,3832,17,6,5437,26688,18276,20519,63169,50185,34043,2795
154,CASEY MUNICIPAL GAS SYSTEM,2132,Municipal Owned,IL,1618,0,0,0,0,758,514,144,132,67,3,0
155,CASHION MUNICIPAL GAS SYSTEM,2136,Municipal Owned,OK,383,330,0,0,0,0,0,0,0,0,48,5
156,"CASSODAY GAS DEPT, CITY OF",2144,Municipal Owned,KS,96,0,0,0,0,94,0,0,0,1,1,0
157,CASTROVILLE UTILITY SYSTEM,2152,Municipal Owned,TX,980,0,0,0,0,698,50,41,60,83,46,2
158,CEDAR FALLS MUNICIPAL UTILITY,2164,Municipal Owned,IA,12516,0,0,0,71,631,493,2840,4745,1772,1964,0
159,CENTER MUNICIPAL GAS SYSTEM,2172,Municipal Owned,CO,792,784,0,0,0,0,0,0,0,0,6,2
160,"CENTERVILLE, TOWN OF",2176,Municipal Owned,TN,3486,0,0,0,0,0,0,1592,1274,375,219,26
161,CENTRAL CITY GAS SYSTEM DEPT,2180,Municipal Owned,NE,1279,579,0,2,15,113,69,42,208,149,98,4
162,CENTRAL FLORIDA GAS CORP,2188,Investor Owned,FL,23078,0,0,0,5,134,369,3720,3753,7328,6751,1018
163,CENTRAL HUDSON GAS & ELECTRIC CORP,2196,Investor Owned,NY,64888,3050,3172,363,2415,4035,4300,7701,8217,11222,18191,2222
164,"CENTURY, TOWN OF",2227,Municipal Owned,FL,908,0,0,0,0,540,241,8,10,79,27,3
165,"CENTREVILLE MUNICIPAL GAS, TOWN OF",2232,Municipal Owned,MS,341,100,0,0,50,25,75,50,20,19,2,0
166,CHAMBERSBURG GAS DEPT,2236,Municipal Owned,PA,4236,0,107,31,178,302,180,291,372,961,1694,120
167,"CHANUTE, CITY OF",2256,Municipal Owned,KS,4306,2621,0,0,0,0,0,388,607,369,280,41
168,"CHARLOTTESVILLE, CITY OF",2268,Municipal Owned,VA,20229,0,0,0,0,20,682,4582,9453,2614,2621,257
169,CHARTIERS NATURAL GAS CO INC,2272,Investor Owned,PA,268,91,0,0,0,0,0,16,0,0,161,0
170,CHATHAM NATURAL GAS DIV,2280,Municipal Owned,LA,220,0,0,0,0,0,0,218,0,0,2,0
171,CHATTANOOGA GAS CO,2288,Investor Owned,TN,80757,1932,0,0,4383,10543,6623,11803,22617,9747,11769,1340
172,"CHATTAHOOCHEE, CITY OF",2289,Municipal Owned,FL,757,0,0,0,737,0,0,0,0,0,20,0
173,CHELSEA GAS AUTH,2292,Municipal Owned,OK,2606,0,0,0,0,602,265,95,1069,357,198,20
174,CHENEY MUNICIPAL UTILITY,2297,Municipal Owned,KS,794,0,0,0,474,0,30,0,167,74,48,1
175,CHEROKEE WATERWORKS & GAS BOARD,2300,Municipal Owned,AL,244,0,0,0,0,0,0,0,0,239,5,0
176,CHILDERSBURG GAS BOARD,2304,Municipal Owned,AL,2264,0,0,0,463,71,171,375,712,307,165,0
177,"CHESTER, CITY OF",2308,Municipal Owned,TX,297,8,0,0,0,247,14,0,2,13,12,1
178,CHESAPEAKE UTILITIES CORPORATION,2309,Investor Owned,DE,60741,0,0,0,0,3978,1166,4018,8724,21827,18449,2579
179,CHESAPEAKE UTILITIES CORPORATION,2309,Investor Owned,MD,13913,0,0,35,229,1330,802,1402,2644,4201,2963,307
180,CHESTER COUNTY NATURAL GAS AUTH,2312,Municipal Owned,SC,10102,0,0,0,0,2780,74,963,4057,1537,631,60
181,"CHESTER GAS DEPT, CITY OF",2316,Municipal Owned,IL,1955,0,0,0,701,641,303,133,0,92,78,7
182,CHICKASAWHAY NATURAL GAS DIST,2336,Municipal Owned,MS,5326,3010,0,0,0,0,533,351,650,366,396,20
183,"CHIPLEY, CITY OF",2348,Municipal Owned,FL,823,426,0,0,0,0,0,383,0,0,10,4
184,"CHIRENO MUNICIPAL GAS, CITY OF",2352,Municipal Owned,TX,1665,0,0,0,0,1216,0,0,0,197,229,23
185,CHOUTEAU PUBLIC WORKS AUTH,2356,Municipal Owned,OK,825,0,0,0,0,0,825,0,0,0,0,0
186,CHRISNEY MUNICIPAL GAS CO,2360,Municipal Owned,IN,285,0,0,0,0,194,17,29,29,11,3,2
187,DUKE ENERGY OHIO,2364,Investor Owned,OH,413566,3529,605,395,4953,23206,21977,37543,97274,138160,82200,3724
188,CIRCLE PINES UTILITY,2368,Municipal Owned,MN,3007,0,0,0,0,125,170,766,670,408,740,128
189,"CISNE GAS DEPT, VILLAGE OF",2372,Municipal Owned,IL,476,0,0,0,0,433,0,4,20,14,4,1
190,CITIZENS GAS & COKE UTILITY,2392,Municipal Owned,IN,264785,0,51,8,24,4523,10136,62656,109215,46614,28951,2607
191,CITIZENS GAS FUEL CO,2408,Investor Owned,MI,16462,0,0,0,118,2217,5092,1850,3921,2234,936,94
192,CITIZENS GAS UTIL DIST,2412,Municipal Owned,TN,12444,0,0,0,0,0,0,5245,3863,1263,1906,167
193,"CITRONELLE GAS UTILITIES BOARD, TOWN OF",2421,Municipal Owned,AL,7716,3990,0,0,0,0,0,0,1169,1686,788,83
194,CITY GAS CO,2428,Investor Owned,WI,5548,0,0,0,0,333,345,415,1066,1727,1558,104
195,FLORIDA CITY GAS,2432,Privately Owned,FL,140751,0,0,0,0,12488,28176,22769,35224,14287,24520,3287
196,"CLARENCE, CITY OF",2452,Municipal Owned,MO,323,0,0,0,0,251,0,0,16,18,36,2
197,CLARKE - MOBILE COUNTIES GAS DIST,2456,Municipal Owned,AL,9767,0,0,0,0,2936,345,1356,3650,579,837,64
198,CLARKSVILLE GAS & WATER DEPT,2460,Municipal Owned,TN,29182,0,0,0,828,1573,1138,3672,8580,8440,4386,565
199,"CLAXTON GAS DEPT, CITY OF",2464,Municipal Owned,GA,1440,0,0,0,0,666,223,213,145,172,20,1
200,CLAIBORNE NATURAL GAS INC,2465,Privately Owned,MS,1,0,0,0,0,1,0,0,0,0,0,0
201,VILLAGE OF CLAY CITY,2468,Municipal Owned,IL,548,0,0,0,0,484,5,17,9,19,14,0
202,"CLAY NATURAL GAS SYSTEM, CITY OF",2472,Municipal Owned,KY,684,7,0,502,0,0,53,0,63,22,37,0
203,CLAYTON GAS SYSTEM,2476,Municipal Owned,LA,312,0,0,0,0,309,0,0,0,3,0,0
204,CLEARFIELD MUNICIPAL GAS SYSTEM,2480,Municipal Owned,IA,141,0,0,0,0,139,0,0,0,0,2,0
205,CLEARWATER GAS SYSTEM,2488,Municipal Owned,FL,27895,0,1164,262,1680,2605,4017,2907,2304,4021,7321,1614
206,CLEVELAND GAS DEPT,2492,Municipal Owned,OK,1674,1674,0,0,0,0,0,0,0,0,0,0
207,"CLINTON, TOWN OF - GAS UTIL DIST #2, E FELICIANA",2500,Municipal Owned,LA,455,0,0,0,446,0,0,0,0,0,9,0
208,"CLINTON GAS SYSTEM, CITY OF",2508,Municipal Owned,KY,876,0,0,0,0,800,20,21,17,15,0,3
209,CLINTON - NEWBERRY NATURAL GAS AUTH,2512,Municipal Owned,SC,17242,0,0,0,5263,2000,1698,2117,3215,1385,1360,204
210,"COALINGA, CITY OF",2524,Municipal Owned,CA,3962,1294,0,215,433,215,135,334,768,440,128,0
211,COBDEN MUNICIPAL GAS SYSTEM,2532,Municipal Owned,IL,344,0,0,0,0,218,57,35,8,12,13,1
212,"COCHRAN GAS SYSTEM, CITY OF",2536,Municipal Owned,GA,1479,0,0,0,0,91,496,386,227,228,48,3
213,"COLFAX GAS DEPT, TOWN OF",2548,Municipal Owned,LA,1205,0,0,0,917,115,116,0,57,0,0,0
214,COLLINWOOD GAS DEPT,2556,Municipal Owned,TN,584,0,0,0,0,100,144,38,244,52,6,0
215,"COLORADO SPRINGS, CITY OF",2568,Municipal Owned,CO,172873,13687,37,105,685,5486,21513,31636,34150,36917,24682,3975
216,"COLQUITT GAS SYSTEM, CITY OF",2572,Municipal Owned,GA,137,96,0,0,0,0,0,0,0,0,40,1
217,COLUMBIA GAS OF KENTUCKY INC,2585,Investor Owned,KY,135309,0,1,3,7295,13890,9735,18006,36070,23484,23077,3748
218,COLUMBIA GAS OF MARYLAND INC,2588,Investor Owned,MD,35037,0,1320,1147,3151,1964,665,3577,6667,5789,9484,1273
219,COLUMBIA GAS OF OHIO INC,2596,Investor Owned,OH,1393190,0,542,1039,54276,206529,141329,171497,222468,195944,363937,35629
220,COLUMBIA GAS OF PENNSYLVANIA,2600,Investor Owned,PA,435106,0,15323,7739,26374,50665,21346,57183,69901,70037,105260,11278
